Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
TÝDEN VE FILMU 1945 Č. 09,3920654,,zpravodajský film,KF-K 020561,x,2015,Barrandov,HD telecine,"135,120000",torzo přepsané z 16mm kopie,
TÝDEN VE FILMU 1945 Č. 14,3920659,,zpravodajský film,KF-K 017718,KF-K 017718,2015,Barrandov,HD telecine,"664,200000",,
TÝDEN VE FILMU 1945 Č. 17,3920662,,zpravodajský film,KF-K 017721,KF-K 017721,2015,Barrandov,HD telecine,"555,040000",,
TÝDEN VE FILMU 1945 Č. 23,3920668,,zpravodajský film,KF-K 017728,KF-K 017728,2015,Barrandov,HD telecine,"576,800000",,
TÝDEN VE FILMU 1945 Č. 27,3920672,,zpravodajský film,KF-K 017571,KF-K 017571,2015,Barrandov,HD telecine,"531,920000",,
TÝDEN VE FILMU 1945 Č.02,3920647,1945,zpravodajský film,KF-K 17705,KF-K 17705,2016,Barrandov,HD telecine,"674,08",,
TÝDEN VE FILMU 1945 Č.06,3920651,,zpravodajský film,KF-DP 017709,KF-DP 017709,2014,Barrandov,HD telecine,"600,560000",,
TÝDEN VE FILMU 1945 Č.22,3920667,1945,zpravodajský film,KF-K 33216,KF-K 33216,2016,Barrandov,HD telecine,"774,76",,
TÝDEN VE FILMU 1945 Č.25,3920670,,zpravodajský film,KF-DP 017730,KF-DP 017730,2015,Barrandov,HD telecine,"762,040000",,
TÝDEN VE FILMU 1946 Č. 14,3920687,,zpravodajský film,KF-DP 017772,KF-DP 017772,2015,Barrandov,HD telecine,"811,160000",,
TÝDEN VE FILMU 1946 Č. 18,3920691,,zpravodajský film,KF-K 017777,KF-K 017777,2015,Barrandov,HD telecine,"427,080000",,
TÝDEN VE FILMU 1946 Č.06,3920680,,zpravodajský film,KF-DP 017780,x,2015,Barrandov,HD telecine,"737,920000",,
TÝDEN VE FILMU 1946 Č.21,3920730,1946,zpravodajský film,KF-K 28111,KF-K 28111,2016,Barrandov,HD telecine,"737,04",,
TÝDEN VE FILMU 1946 Č.27,3920346,1946,zpravodajský film,KF-K 23935,KF-K 23935,2016,Barrandov,HD telecine,"969,04",,
TÝDEN VE FILMU 1946 Č.45,3920737,1946,zpravodajský film,KF-K 28421,KF-K 28421,2016,Barrandov,HD telecine,"734,04",,
TÝDEN VE FILMU 1946 Č.53,3920744,1946,zpravodajský film,KF-K 28624,KF-K 28624,2016,Barrandov,HD telecine,"658,04",,
TÝDEN VE FILMU 1947 Č.07,3921809,1947,zpravodajský film,KF-K 32377,KF-K 32377,2016,Barrandov,HD telecine,"527,88",,
TÝDEN VE FILMU 1947 Č.10,3921814,1947,zpravodajský film,KF-K 32380,KF-K 32380,2016,Barrandov,HD telecine,"419,44",,
TÝDEN VE FILMU 1947 Č.21,3921923,1947,zpravodajský film,KF-K 32408,KF-K 32408,2016,Barrandov,HD telecine,"549,04",,
TÝDEN VE FILMU 1947 Č.26,3921922,1947,zpravodajský film,KF-K 32413,KF-K 32413,2016,Barrandov,HD telecine,"575,04",,
TÝDEN VE FILMU 1947 Č.50,3921371,1947,zpravodajský film,KF-K 28631,KF-K 28631,2016,Barrandov,HD telecine,"530,04",,
TÝDEN VE FILMU 1948 Č. 41,3920967,,zpravodajský film,KF-DP 032275,KF-DP 032275,2015,Barrandov,HD telecine,"575,280000",,
TÝDEN VE FILMU 1948 Č.09,3920946,1948,zpravodajský film,KF-K 28375,KF-K 28375,2016,Barrandov,HD telecine,"549,04",,
TÝDEN VE FILMU 1948 Č.10,3920947,1948,zpravodajský film,KF-K 28393,KF-K 28393,2016,Barrandov,HD telecine,"628,52",,
TÝDEN VE FILMU 1948 Č.21,3920958,1948,zpravodajský film,KF-K 28382,KF-K 28382,2016,Barrandov,HD telecine,"552,28",,
TÝDEN VE FILMU 1948 Č.25,3920962,1948,zpravodajský film,KF-K 28391,KF-K 28391,2016,Barrandov,HD telecine,"315,04",,
TÝDEN VE FILMU 1949 Č.07,3921384,1949,zpravodajský film,KF-K 28721,KF-K 28721,2016,Barrandov,HD telecine,"516,56",,
TÝDEN VE FILMU 1949 Č.11,3921387,1949,zpravodajský film,KF-K 28724,KF-K 28724,2016,Barrandov,HD telecine,"527,04",,
TÝDEN VE FILMU 1949 Č.16,3921398,1949,zpravodajský film,KF-K 28748,KF-K 28748,2016,Barrandov,HD telecine,"585,40",,
TÝDEN VE FILMU 1949 Č.22,3921403,1949,zpravodajský film,KF-K 28753,KF-K 28753,2016,Barrandov,HD telecine,"655,84",,
TÝDEN VE FILMU 1950 Č.11,3921524,,zpravodajský film,KF-DP 28981,KF-DP 28981,2015,Barrandov,HD telecine,"661,320000",,
TÝDEN VE FILMU 1956 Č.20,3921709,1956,zpravodajský film,KF-K 29195,KF-K 29195,2016,Barrandov,HD telecine,"670,04",,
TÝDEN VE FILMU 1958 Č. 16,3921803,,zpravodajský film,KF-K 032328,KF-K 032328,2015,Barrandov,HD telecine,"518,760000",,
TÝDEN ZAČÍNÁ V PÁTEK,0066396,1962,dokument,KF-K 30555,KF-K 30555,2016,Barrandov,HD telecine,"480,04",,
TYDEN_VE_FILMU_17_1958,3921410,1958,zpravodajský film,KF DP-28736,KF DP-28736,14.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_24_1956,3921603,1956,zpravodajský film,KF DP-32147,KF DP-32147,9.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_27_1956,3921605,1956,zpravodajský film,KF DP-32149,KF DP-32149,9.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_29_1956,3921607,1956,zpravodajský film,KF DP-32151,KF DP-32151,9.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_30_1956,3922120,1956,zpravodajský film,KF DP-33215,KF DP-33215,9.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_31_1956,3921608,1956,zpravodajský film,KF DP-32152,KF DP-32152,9.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_36_1956,3921725,1956,zpravodajský film,KF DP-32291,KF DP-32291,9.12.2016,FLB,HD telecine,,,
TYDEN_VE_FILMU_5_1956,3920800,1956,zpravodajský film,KF DP-40106,KF DP-40106,22.12.2016,FLB,HD telecine,,,
TYRŠŮV DŮM SLAVNOST OTEVŘENÍ 24 KVĚTNA 1925,0065529,1925,dokument,KF-K 27025,KF-K 27025,2016,Barrandov,HD telecine,"727,04",,
TÝŽDEŇ VO FILME 1968 Č.27,3922496,,zpravodajský film,KF-K 45586,x,2016,Barrandov,HD telecine,"182,80",,
U HRNČÍŘE,4001446,1976,animovaný,KF-K 019636,KF-K 019636,2015,Barrandov,HD telecine,"605,040000",,
ÚDERNÍK SVOBODA,0063128,,dokument,KF-K 006858,KF-K 006858,2015,Barrandov,HD telecine,"1328,880000",,
UDOLÍ ZDRAVÍ A KLIDU,0063129,,dokument,KF-K 005243,KF-K 005243,2015,Barrandov,HD telecine,"388,040000",,
UCHO,0010563,1970,hraný,HF-K 22354,HF-K 22354,2016,Barrandov,HD telecine,"5 480,80",,
UKOLÉBAVKA,4001447,1948,animovaný,KF-K 009098,KF-K 009098,2015,Barrandov,HD telecine,"393,560000",,
UKRADENÉ DÍTĚ,4000672,1972,animovaný,KF-K 13721,KF-K 13721,2016,Barrandov,HD telecine,"444,04",,
ULOUPENÍ ČESKOSLOVENSKA,3501250,,dokument,KF-K 000397,KF-K 000397,2015,Barrandov,HD telecine,"971,040000",,
UMĚNÍ KOVOLITCŮ,0060028,1957,dokument,KF-K 14754,KF-K 14754,2016,Barrandov,HD telecine,"714,01",,
UMĚNÍ MILOVATI DE ARTE AMATORIA,0012619,,hraný,HF-K 027572,HF-K 027572,2014,Barrandov,HD telecine,"382,160000",,
UMÍTE ČÍST ČERVÍČKY?,0063144,1961,dokument,KF-K 6400,KF-K 6400,2016,Barrandov,HD telecine,"544,04",,
UMŘEL NÁM PAN FOERSTER,0011996,,hraný,HF-K 026821,HF-K 026821,2014,Barrandov,HD telecine,"847,600000",,
UPÍR Z FERATU,0011994,1981,hraný,HF-K 31990,HF-K 31990,2016,Barrandov,HD telecine,"5 402,84",,
ÚRAZY ELEKTŘINOU V PRŮMYSLU,0066832,,dokument,KF-K 037318,KF-K 037318,2015,Barrandov,HD telecine,"973,200000",,
USPÁVANKA,4001098,1979,animovaný,K 11 809,K 11 809,16.1.2017,FLB,HD telecine,300.040000,,
"ÚSTECKÉ FILMOVÉ NOVINY 1953, Č. 22",3927274,,zpravodajský film,KF-N 016848,x,2015,Barrandov,HD telecine,"189,040000",,
ÚTOK NA PRAHU,0063150,,dokument,KF-K 007520,KF-K 007520,2014,Česká televize,HD telecine,"593,560000",,
UZEL NA KAPESNÍKU,4001464,1958,animovaný,KF-K 007831,KF-K 007831,2015,Barrandov,HD telecine,"870,040000",,
V AUTU KŘÍŽEM KRÁŽEM JIŽNÍMI ČECHAMI,0063151,1931,dokument,KF-K 13560,x,2016,Barrandov,HD telecine,"644,28",,
V DRUŽSTEVNÍ STÁJI,0063155,,dokument,KF-K 013522,KF-K 013522,2015,Barrandov,HD telecine,"1070,560000",,
V MOCI OHNĚ A BOHŮ,0063162,,dokument,KF-K 006357,KF-K 006357,2015,Barrandov,HD telecine,"926,040000",,
V PÁTEK RÁNO,0010984,0001957,dokumentární,KF-K 028759,KF-K 028759,16.1.2017,FLB,HD telecine,1989.040000,,
V PODSTATĚ JSME NORMÁLNÍ,0011416,1981,hraný,HF-K 31662,HF-K 31662,2016,Barrandov,HD telecine,"5 272,04",,
V PRAVÉ DOPOLEDNE,4001455,1964,animovaný,KF-K 019889,KF-K 019889,2015,Barrandov,HD telecine,"298,040000",,
V PRAVLASTI KÁVY ,0063164,1953,dokument,KF-K 13229,KF-K 13229,2016,Barrandov,HD telecine,"595,04",,
V SÍTI ČASU,0064518,1989,dokument,KF-K 25542,KF-K 25542,2016,Barrandov,HD telecine,"1 230,04",,
V ŠEST RÁNO NA LETIŠTI,0011072,1958,hraný,HF-K 031357,HF-K 031357,2013,Barrandov,HD telecine,"4255,200000",,
V ZAALAJSKÝCH HORÁCH ,0063171,1966,dokument,KF-K 6399,KF-K 6399,2016,Barrandov,HD telecine,"450,04",,
V. J. KLOFÁČ…,0063775,,dokument,KF-K 024411,x,2014,Barrandov,HD telecine,"482,760000",,
VÁCLAV TILLE,,,,KF-K 42772,x,2016,Barrandov,HD telecine,,,
VÁHAVÝ VELIKÁN,0063182,1965,dokument,KF-K 6346,KF-K 6346,2016,Barrandov,HD telecine,"461,16",,
VALENTIN DOBROTIVÝ,0010770,1942,hraný,HF-K 022557,HF-K 022557,2015,Barrandov,HD telecine,"5844,080000",,
VALERIE A TÝDEN DIVŮ,0011113,1970,hraný,HF-K 031937,HF-K 031937,2015,Barrandov,HD telecine,"4402,080000",,
VÁLKA O ZDRAVÍ,0063189,,dokument,KF-K 005013,KF-K 005013,2014,Česká televize,HD telecine,"603,520000",,
VÁNOCE U ZVÍŘÁTEK,4001458,1973,animovaný,KF-K 19894,KF-K 19894,2016,Barrandov,HD telecine,"453,00",,
VÁNOČNÍ PŘÍBĚH,4003400,1960,animovaný,KF-K 040701,KF-K 040701,2012,Barrandov,HD telecine,"128,400000","pro DVD Dodalovi, spojení dvou fragmentů - 40701 a 42862 (nedochovaný?)",
VÁNOČNÍ SEN ,4000657,1945,animovaný,KF-K 018636,KF-K 018636,2012,Barrandov,HD telecine,"646,625000",pro DVD Český animovaný film 1925-1945,
VÁŠEŇ,4000636,1961,animovaný,KF-K 014666,KF-K 014666,2014,Barrandov,HD telecine,"517,400000",,
VE JMÉNU MÍRU,0063206,,dokument,KF-K 006634,KF-K 006634,2014,Barrandov,HD telecine,"843,040000",,
VE STÍNU BÍLÉ VĚŽE,0060190,1942,dokument,KF-K 14373,x,2016,Barrandov,HD telecine,"753,04",,
VEČERY S JINDŘICHEM PLACHTOU,0063211,,dokument,KF-K 009666,KF-K 009666,2014,Barrandov,HD telecine,"4532,040000",,
VĚČNÁ PRAHA,3502286,,dokument,KF-K 006210,KF-K 006210,2015,Barrandov,HD telecine,"518,040000",,
VĚDA JDE S LIDEM,0068570,,dokument,KF-K 042398,KF-K 042398,2014,Česká televize,HD telecine,"1219,320000",,
VĚDA MLUVÍ,0063836,,dokument,KF-K 018858,KF-K 018858,2016,Barrandov,HD telecine,"141,84",,
VELBLOUD UCHEM JEHLY,0010788,1936,hraný,HF-K 12469,HF-K 12469,2016,Barrandov,HD telecine,"5 245,44",,
VELKÁ PREHRADA,0010893,1942,hraný,HF-K 003742,HF-K 003742,2015,Barrandov,HD telecine,"6376,080000",,
VELKÉ DÍLO,0063245,1945,dokument,KF-K 24292,KF-K 24292,2016,Barrandov,HD telecine,"849,64",,
VENOUŠEK A STÁZIČKA,0010790,1939,hraný,HF-K 011403,HF-K 011403,2014,Barrandov,HD telecine,"4098,040000",,
VĚRA LUKÁŠOVÁ,0010894,1939,hraný,HF-K 023203,HF-K 023203,2016,Barrandov,HD telecine,"5 279,32",,
VEŘEJNÉ CVIČENÍ TĚLOCVIČNÉ JEDNOTY SOKOL V ČESKÉM BRODĚ 10.ČERVNA 1910 NA OSLAVU 40TI LETÉHO TRVÁNÍ ZA ÚČASTI OKOLNÍCH JEDNOT,0063256,,dokument,KF-K 005776,x,2015,Barrandov,HD telecine,"325,400000",,
VESELÝ CIRKUS,4001472,1951,animovaný,KF-K 011807,KF-K 011807,2014,Barrandov,HD telecine,"713,960000",,
VESELÝ KONCERT ,4001474,1935,animovaný,KF-K 002483,KF-K 002483,2012,Barrandov,HD telecine,"254,916250",pro DVD Český animovaný film 1925-1945,
VESNIČKO MÁ STŘEDISKOVÁ,0011534,1985,hraný,KF-K 022715,KF-K 022715,2014,Barrandov,HD telecine,"5901,480000",,
VESNIČKO MÁ STŘEDISKOVÁ REKLAMNÍ SNÍMEK,0067325,,dokument,KF-K 034746,KF-K 034746,2016,Barrandov,HD telecine,"133,40",,
VĚSTONICKÉ MYSTERIUM,0063261,1947,dokument,KF-K 12688,x,2016,Barrandov,HD telecine,"868,04",,
"VÍM, ŽE JSI VRAH",0011156,1971,hraný,HF-K 023205,HF-K 023205,2015,Barrandov,HD telecine,"5827,080000",,
VITAMÍN C,4001478,1950,animovaný,KF-DP 017288,KF-DP 017288,2014,Barrandov,HD telecine,"204,120000",,
VÍTĚZ ,4001479,1934,animovaný,KF-K 013579,KF-K 013579,2012,Barrandov,HD telecine,"357,010833",pro DVD Český animovaný film 1925-1945,
VÍTĚZNÝ LID,0063274,1948,dokument,KF-K 3546,KF-K 3546,2016,Barrandov,HD telecine,"993,04",,
VÍTĚZSTVÍ PRAVDY A LÁSKY,0060550,1935,dokument,KF-K 15738,KF-K 15738,2016,Barrandov,HD telecine,"4 183,48",,
"VIZTE VŠE, CO TROPÍ DNES KLUCI DVA A JEDEN PES! ",4001480,1925,animovaný,KF-K 002488,x,2012,Barrandov,HD telecine,"444,416",pro DVD Český animovaný film 1925-1945,SOUBOR MA SPATNE ID
VLÁČEK KOLEJÁČEK,4001482,1959,animovaný,KF-K 869,KF-K 869,2016,Barrandov,HD telecine,"831,64",,
VLNĚNÁ POHÁDKA,4001484,1964,animovaný,KF-K 19891,KF-K 19891,2016,Barrandov,HD telecine,"551,64",,
VODA NA KARLOVARSKU,0065447,,dokument,KF-K 026308,KF-K 026308,2015,Barrandov,HD telecine,"996,760000",,
VOJÁCI V_HORÁCH,0065732,,dokument,KF-K 030589,KF-K 030589,2014,Barrandov,HD telecine,"692,040000",,
VOJÁČEK COLGATE,4003409,?,animovaný,KF-K 041044,KF-K 041044,2012,Barrandov,HD telecine,"28,120000",pro DVD Dodalovi,
VOJENSKÁ TOVÁRNA NA LETADLA V LETŇANECH Č. S. R.,0068273,,dokument,KF-K 041927,x,2015,Barrandov,HD telecine,"2490,240000",,
"VOJTĚCH, ŘEČENÝ SIROTEK",0010381,1989,hraný,HF-K 22617,HF-K 22617,2016,Barrandov,HD telecine,"4 785,72",,
VOLÍME ŠŤASTNOU BUDOUCNOST,0063305,,dokument,KF-K 006585,KF-K 006585,2015,Barrandov,HD telecine,"491,920000",,
VRABEČKOVÉ,4002528,1991,animovaný,KF-K 21743,KF-K 21743,2016,Barrandov,HD telecine,"241,21",,
VRAH SKRÝVÁ TVÁŘ,0011779,1966,hraný,HF-DP 006960,HF-DP 006960,2015,Barrandov,HD telecine,"5536,080000",,
VRAH ZUBŮ ,4000068,1933,animovaný,KF-K 014592,x,2012,Barrandov,HD telecine,"364,291667",pro DVD Český animovaný film 1925-1945,
VRAŤ SE DO HROBU,0010383,1989,hraný,HF-K 021457,HF-K 021457,2016,Barrandov,HD telecine,"5 825,08",,
"VRCHNÍ, PRCHNI",0011663,1980,hraný,HF-K 024773,HF-K 024773,2014,Barrandov,HD telecine,"5096,080000",,
VŠEDNÍ UDÁLOST,0012312,1943,hraný,HF-K 025972,HF-K 025972,2014,Česká televize,HD telecine,"844,440000",,
VŠECHNO PRO TRHANEC ,4000056,1937,animovaný,KF-K 013591,KF-K 013591,2012,Barrandov,HD telecine,"271,196667",pro DVD Český animovaný film 1925-1945,
VŠEM NELZE VYHOVĚT,4001492,1958,animovaný,KF-K  008220,A8220,3.1.2017,FLB,HD telecine,596.040000,,
VŠEMI PROSTŘEDKY,3620704,1959,amatérský dokumentární,,,2016,UPP,HD telecine,"380,36",,
VŠICHNI DOBŘÍ RODÁCI,0011782,1968,hraný,HF-N 000900,"HF-N 000900, HF-K 005558, HF-K 002728",2013,"UPP (obraz), Soundsuqare/Barrandov/UPP (zvuk)",4K sken,"6922,520000","digitálně restaurováno v UPP/Soundsquare, referenční kopie HF-K 005558",OK
VŠICHNI MUSÍ BÝT V PYŽAMU,0011420,1985,hraný,HF-K 28670,HF-K 28670,2016,Barrandov,HD telecine,"4 618,20",,
VŠUDYBYLOVO DOBRODRUŽSTVÍ,4001493,1936,animovaný,KF-DP 002458,KF-DP 002458,2012,Barrandov,HD telecine,"478,482920","česká protektorátní verze, kompletní, nevirážováno",
VŠUDYBYLOVO DOBRODRUŽSTVÍ,4001493,1936,animovaný,KF-K 042861,KF-K 042861,2012,Barrandov,HD telecine,"478,482920","pro DVD Dodalovi, původní česká verze, nekompletní, nevirážováno",
VY NEZNÁTE ALBERTA,0010794,1940,hraný,HF-K 011445,HF-K 011445,2014,Barrandov,HD telecine,"5223,040000",,
VÝBUCH BUDE V PĚT,0011421,1984,hraný,HF-K 19809,HF-K 19809,2016,Barrandov,HD telecine,"4 435,04",,
VYNÁLEZ ZKÁZY,0011075,1958,hraný,"HF-N 008197, HF-DP 027777, HF-DP 028013, HF-N 008455","HF-N 008197, HF-DP 027777, HF-DP 028013",2015,"UPP (obraz), SoundSquare(zvuk)",4K sken,"4751,400000",digitálně restaurováno v UPP/Soundsquare,
VÝROBA MÝDLA,0063327,1929,dokument,KF-K 13472,x,2016,Barrandov,HD telecine,"296,20",,
VYSOKÁ MODRÁ ZEĎ,0011192,1973,hraný,HF-K 031611,HF-K 031611,2016,Barrandov,HD telecine,"5 364,52",,
VÝSTAVA TŘICET LET CČH A PĚVECKÝ KONCERT V BRNĚ,3620499,1951,amatérský dokumentární,KF-K 043912,x,2014,Barrandov,HD telecine,"1225,680000",,
VÝVOJ SOUSTAVNÉ ELEKTRISACE ZÁPADNÍCH ČECH ,4003630,1929,animovaný,KF-K 031199,x,2012,Barrandov,HD telecine,"730,083",pro DVD Český animovaný film 1925-1945,SOUBOR MA SPATNE ID
VÝZKUMNÉ PRÁCE NA MACOŠE V ROCE 1932,0064067,1932,dokument,KF-K 20415,x,2016,Barrandov,HD telecine,"648,20",,
VÝZNAMNÉ OSOBNOSTI NAŠEHO ŽIVOTA ,4001496,1928,animovaný,KF-K 010622,x,2012,Barrandov,HD telecine,"200,291667",pro DVD Český animovaný film 1925-1945,
VZDÁLENOST OD STŘEDU,0063343,1962,dokument,KF-K 013397,KF-K 013397,27.3.2017,FLB,HD telecine,"641,00",,
VZDUCHOLOĎ A LÁSKA,4000652,1948,animovaný,KF-K 018478,KF-K 018478,2014,Barrandov,HD telecine,"504,040000",,
VZKŘÍŠENÍ SINHÁLSKÉ ZEMĚ,0069045,,dokument,KF-K 044645,KF-K 044645,2015,Barrandov,HD telecine,"724,040000",,
VZPOMÍNKA NA NÁVŠTĚVU PRVNÍHO PRESIDENTA REPUBLIKY ČESKOSLOVENSKÉ DR. T. G. MASARYKA V ÚPICI,0064631,,dokument,KF-K 022075,x,2015,Barrandov,HD telecine,"544,040000",,
VZPOURA HRAČEK,4001497,1947,animovaný,KF-DP 011000,KF-DP 011000,2014,Barrandov,HD telecine,"826,040000",,
VZPOURA ŘEPY ,4001498,1928,animovaný,KF-K 002487,x,2012,Barrandov,HD telecine,"653,166667",pro DVD Český animovaný film 1925-1945,
Z ARGENTINY DO MEXIKA,0065409,1953,dokument,KF-K 17474,KF-K 17474,,,,"4950,640000",,
Z ARGENTINY DO MEXIKA,0065409,,dokument,distribuční kopie mimo sbírky NFA,distribuční kopie mimo sbírky NFA,2014,Barrandov,HD telecine,"4950,640000",,
Z BLÁTA DO LOUŽE,0010844,1934,hraný,HF-K 011063,HF-K 011063,2015,Barrandov,HD telecine,"5968,080000",,
Z BLÁTA DO LOUŽE,0063358,,dokument,KF-K 006363,KF-K 006363,2015,Barrandov,HD telecine,"1196,036000",,
Z ČECH AŽ NA KONEC SVĚTA,3504707,,dokument,KF-K 44221,KF-K 44221,2014,Barrandov,HD telecine,"2249,200000",,
ZA ČESKOSLOVENSKÝ STÁT,0012023,1928,hraný,HF-K 023544,x,2012,UPP,HD telecine,"5631,04","pro projekt EFG 1914, úprava rychlosti z 18 fps na 24/25 fps",SOUBOR MA SPATNE ID
ZA HUMNY JE DRAK,0011998,1982,hraný,HF-K 023145,HF-K 023145,2015,Barrandov,HD telecine,"5319,080000",,
"ZA KARLEM KLOSTERMANNEM, BÁSNÍKEM ŠUMAVY",0063374,,dokument,KF-K 012454,x,2015,Barrandov,HD telecine,"731,360000",,
ZA TICHÝCH NOCÍ,0010902,1940,hraný,HF-K 008893,HF-K 008893,2016,Barrandov,HD telecine,"5 117,12",,
ZA TRNKOVÝM KEŘEM,0011667,1980,hraný,HF-K 026725,HF-K 026725,2015,Barrandov,HD telecine,"4283,000000",,
"ZA TUČŇÁKY,LVOUNY A VELRYBAMI",0064225,1952,dokument,KF-K 21039,KF-K 21039,2016,Barrandov,HD telecine,"665,80",,
"ZABIL JSEM EINSTEINA, PÁNOVÉ...",0011788,1969,hraný,HF-K 31757,HF-K 31757,2016,Barrandov,HD telecine,"5 674,92",,
ZABITÁ NEDĚLE,0011789,1969,hraný,HF-K 4790,HF-K 4790,2016,Barrandov,HD telecine,"4 698,72",,
ZABLÁCENÉ MĚSTO,0063390,,dokument,distribuční kopie Filmexportu zaslaná na benátský filmový festival 2012 (zůstala v majetku festivalu),distribuční kopie Filmexportu zaslaná na benátský filmový festival 2012 (zůstala v majetku festivalu),2012,Bologna,2K sken,"535,916",digitálně restaurováno v L'Immagine Ritrovata Bologna,
ZÁHADA MEZNÍKU MK 204,4001504,1934,animovaný,KF-K 002484,KF-K 002484,2012,Barrandov,HD telecine,"214,958333",pro DVD Český animovaný film 1925-1945,
ZACHRÁNCE,3600131,1962,amatérský,KF-K 32174,KF-K 32174,2016,Barrandov,HD telecine,"425,04",,
ZÁJEZD BAŤOVCŮ DO JUGOSLÁVIE,0063400,1930,dokument,KF-K 2730,x,2016,Barrandov,HD telecine,"714,64",,
ZÁJEZD ÚČASTNÍKŮ KONFERENCE OBCHODNÍ DO PLZNĚ 1923,0060414,,dokument,KF-K 015578,x,2016,Barrandov,HD telecine,"430,04",,
ZÁMEK KONOPIŠTĚ,0060380,,dokument,KF-K 015051 ,x,2014,Barrandov,HD telecine,"166,040000",,
ZAMILOVANÝ VODNÍK ,4001507,1928,animovaný,KF-K 005801,x,2012,Barrandov,HD telecine,"679,333333",pro DVD Český animovaný film 1925-1945,
ZÁMOŘSKÁ SOKOLSKÁ SDRUŽENÍ,3620088,?,amatérský dokumentární,KF-K 29826,x,2016,Barrandov,HD telecine,"2 789,08",,
ZAPALTE OHNĚ NA HORÁCH,0068816,,dokument,KF-K 045725,KF-K 045725,2016,Barrandov,HD telecine,"1 309,04",,
ZAŘÍCÍ TVÁŘ,0063424,,dokument,KF-K 013525,KF-K 013525,2014,Česká televize,HD telecine,"269,640000","vysoká komprese - H.264, 20 Mb/s",
ZASADIL DĚDEK ŘEPU,4001509,1945,animovaný,KF-K 019807,KF-K 019807,2014,Barrandov,HD telecine,"598,040000",,
ZÁSOBOVÁNÍ PRAHY ZA SVĚTOVÉ VÁLKY,0066876,,dokument,KF-K 024774,x,2012,UPP,HD telecine,"340,56","úprava rychlosti z 18 fps na 24/25 fps, pro projekt EFG 1914 ",SOUBOR MA SPATNE ID
ZATOULANÉ DĚLO,0011076,1958,hraný,HF-K 031303,HF-K 031303,2013,Barrandov,HD telecine,"4745,600000",,
ZÁVADA NENÍ NA VAŠEM PŘIJÍMAČI,4001511,1961,animovaný,KF-K 040703,KF-K 040703,2014,Barrandov,HD telecine,"714,040000",,
ZAVET ZLATOKOPOVA (OHNIVÝ DÉŠŤ) ,0202221,1926,hraný,HF-K 21417,x,2016,Barrandov,HD telecine,"3 261,04",,
ZÁVOD KOMPRESORY A JEHO VÝROBNÍ PROGRAM,0069184,,dokument,KF-K 042915,KF-K 042915,2014,Barrandov,HD telecine,"1480,130000","pozor, nemáme práva",
ZÁVOD MÍRU 1954,0063431,1954,dokument,KF-K 027576,KF-K 027576,27.3.2017,FLB,HD telecine,"1 450,00",,
ZÁVOD STOLETÍ,0063432,,dokument,KF-K 006304,KF-K 006304,2015,Barrandov,HD telecine,"539,040000",,
ZDÁNLIVÉ POHYBY PLANET,0063911,1965,dokument,KF-K 19522,KF-K 19522,2016,Barrandov,HD telecine,"604,04",,
"ZDAŘ BŮH, HOŠI",0060022,,dokument,KF-K 014431,KF-K 014431,2014,Barrandov,HD telecine,"913,040000",,
ZDE JSOU LVI,0011077,1958,hraný,HF-K 026668,HF-K 026668,2015,Barrandov,HD telecine,"5243,200000",,
ZDOLA!,0061004,,dokument,KF-K 026707,x,2015,Barrandov,HD telecine,"2466,000000",prodlouženy flash-intertitles + opraveno pořadí dílů,
ZE SOBOTY NA NEDĚLI,0010906,1931,hraný,,,2015,Magyar Filmlabor,4K sken / 2K postprodukce,,Digitálně restaurováno EEA,
ZE SVĚTA MODERNÍHO PRŮMYSLU,0063442,1933,dokument,KF-K 5989,KF-K 5989,2016,Barrandov,HD telecine,"1 198,04",,SOUBOR MA SPATNE ID
ZE VŠECH JEDINÁ,0010908,1937,hraný,HF-K 011465,HF-K 011465,2015,Barrandov,HD telecine,"5362,080000",,
ZELENÝ HORIZONT,0065474,1967,dokument,KF-K 26774,KF-K 26774,2016,Barrandov,HD telecine,"488,04",,
ZEMĚ DOUDLEBŮ,0063448,,dokument,KF-K 007210,KF-K 007210,2015,Barrandov,HD telecine,"522,000000",,
ZEMĚ SE OTVÍRÁ,0063456,,dokument,KF-K 007323,KF-K 007323,2014,Barrandov,HD telecine,"654,040000",,
ZF 0006,3900114,,zpravodajský film,KF-K 022953,KF-K 022953,2014,Barrandov,HD telecine,"617,080000",,
ZF 0011,3900040,,zpravodajský film,KF-K 022961,KF-K 022961,2015,Barrandov,HD telecine,"908,040000",,
ZF 0019,3900068,1940,zpravodajský film,KF-K 23056,KF-K 23056,2016,Barrandov,HD telecine,"1 296,28",,
ZF 0023,3900041,,zpravodajský film,KF-K 023057,KF-K 023057,2015,UPP,HD sken,"560,125000",,
