Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949 Č.20,3921332,1949,zpravodajský film,KF-K 028690,KF-K 028690,2016,Barrandov,HD telecine,"618,88",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949 Č.24,3921336,1949,zpravodajský film,KF-K 28694,KF-K 28694,2016,Barrandov,HD telecine,"572,02",,
"ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949, Č. 40",3921351,1949,zpravodajský film,KF-K 28710,KF-K 28710,2016,Barrandov,HD telecine,"405,76",,
"ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949, Č. 51",3921453,1949,zpravodajský film,KF-K 28953,KF-K 28953,2015,Barrandov,HD telecine,"836,400000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1950 Č. 17,3921292,1950,zpravodajský film,KF-DP 28792,x,2015,Barrandov,HD telecine,"657,200000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1950 Č.01,3921458,1950,zpravodajský film,KF-DP 28894,x,2016,Barrandov,HD telecine,"1 051,08",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1950 Č.42,3921472,1950,zpravodajský film,KF-DP 28945,KF-DP 28945,2016,Česká televize,HD telecine,"641,36",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1950 Č.45,3921475,1950,zpravodajský film,KF-K 28942,KF-K 28942,2016,Barrandov,HD telecine,"676,04",,
"ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1950, Č. 35",3921467,1950,zpravodajský film,KF-K 28950,KF-K 28950,2015,Barrandov,HD telecine,"669,040000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1951 Č.04,3920581,1951,zpravodajský film,KF-K 24794,KF-K 24794,2016,Česká televize,HD telecine,"745,24",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1951 Č.28,3921536,1951,zpravodajský film,KF-K 31438,KF-K 31438,2016,Česká televize,HD telecine,"625,52",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1951 Č.39,3921485,1951,zpravodajský film,KF-K 28924,KF-K 28924,2016,Barrandov,HD telecine,"465,04",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1951 Č.41,3921482,1951,zpravodajský film,KF-DP 29019,KF-DP 29019,2016,Česká televize,HD telecine,"587,00",,
"ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1951, Č. 32",3921287,1950,zpravodajský film,KF-K 31304,KF-K 31304,2015,Barrandov,HD telecine,"620,600000",,
